	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
288	NaN	2021	4	13	23	0	SPO_NO0143A_5_3173
289	NaN	2021	4	14	0	0	SPO_NO0143A_5_3173
290	NaN	2021	4	14	1	0	SPO_NO0143A_5_3173
291	NaN	2021	4	14	2	0	SPO_NO0143A_5_3173
292	NaN	2021	4	14	3	0	SPO_NO0143A_5_3173
293	NaN	2021	4	14	4	0	SPO_NO0143A_5_3173
294	NaN	2021	4	14	5	0	SPO_NO0143A_5_3173
295	NaN	2021	4	14	6	0	SPO_NO0143A_5_3173
296	NaN	2021	4	14	7	0	SPO_NO0143A_5_3173
297	NaN	2021	4	14	8	0	SPO_NO0143A_5_3173
298	NaN	2021	4	14	9	0	SPO_NO0143A_5_3173
299	NaN	2021	4	14	10	0	SPO_NO0143A_5_3173
300	NaN	2021	4	14	11	0	SPO_NO0143A_5_3173
301	NaN	2021	4	14	12	0	SPO_NO0143A_5_3173
302	NaN	2021	4	14	13	0	SPO_NO0143A_5_3173
303	NaN	2021	4	14	14	0	SPO_NO0143A_5_3173
304	NaN	2021	4	14	15	0	SPO_NO0143A_5_3173
305	NaN	2021	4	14	16	0	SPO_NO0143A_5_3173
306	NaN	2021	4	14	17	0	SPO_NO0143A_5_3173
307	NaN	2021	4	14	18	0	SPO_NO0143A_5_3173
308	NaN	2021	4	14	19	0	SPO_NO0143A_5_3173
309	NaN	2021	4	14	20	0	SPO_NO0143A_5_3173
310	NaN	2021	4	14	21	0	SPO_NO0143A_5_3173
311	NaN	2021	4	14	22	0	SPO_NO0143A_5_3173
312	NaN	2021	4	14	23	0	SPO_NO0143A_5_3173
313	NaN	2021	4	15	0	0	SPO_NO0143A_5_3173
314	NaN	2021	4	15	1	0	SPO_NO0143A_5_3173
315	NaN	2021	4	15	2	0	SPO_NO0143A_5_3173
316	NaN	2021	4	15	3	0	SPO_NO0143A_5_3173
317	NaN	2021	4	15	4	0	SPO_NO0143A_5_3173
318	NaN	2021	4	15	5	0	SPO_NO0143A_5_3173
319	NaN	2021	4	15	6	0	SPO_NO0143A_5_3173
320	NaN	2021	4	15	7	0	SPO_NO0143A_5_3173
321	NaN	2021	4	15	8	0	SPO_NO0143A_5_3173
322	NaN	2021	4	15	9	0	SPO_NO0143A_5_3173
323	NaN	2021	4	15	10	0	SPO_NO0143A_5_3173
324	NaN	2021	4	15	11	0	SPO_NO0143A_5_3173
325	NaN	2021	4	15	12	0	SPO_NO0143A_5_3173
326	NaN	2021	4	15	13	0	SPO_NO0143A_5_3173
327	NaN	2021	4	15	14	0	SPO_NO0143A_5_3173
328	NaN	2021	4	15	15	0	SPO_NO0143A_5_3173
329	NaN	2021	4	15	16	0	SPO_NO0143A_5_3173
330	NaN	2021	4	15	17	0	SPO_NO0143A_5_3173
331	NaN	2021	4	15	18	0	SPO_NO0143A_5_3173
332	NaN	2021	4	15	19	0	SPO_NO0143A_5_3173
333	NaN	2021	4	15	20	0	SPO_NO0143A_5_3173
334	NaN	2021	4	15	21	0	SPO_NO0143A_5_3173
335	NaN	2021	4	15	22	0	SPO_NO0143A_5_3173
336	NaN	2021	4	15	23	0	SPO_NO0143A_5_3173
337	NaN	2021	4	16	0	0	SPO_NO0143A_5_3173
338	NaN	2021	4	16	1	0	SPO_NO0143A_5_3173
339	NaN	2021	4	16	2	0	SPO_NO0143A_5_3173
340	NaN	2021	4	16	3	0	SPO_NO0143A_5_3173
341	NaN	2021	4	16	4	0	SPO_NO0143A_5_3173
342	NaN	2021	4	16	5	0	SPO_NO0143A_5_3173
343	NaN	2021	4	16	6	0	SPO_NO0143A_5_3173
344	NaN	2021	4	16	7	0	SPO_NO0143A_5_3173
345	NaN	2021	4	16	8	0	SPO_NO0143A_5_3173
346	NaN	2021	4	16	9	0	SPO_NO0143A_5_3173
347	NaN	2021	4	16	10	0	SPO_NO0143A_5_3173
348	NaN	2021	4	16	11	0	SPO_NO0143A_5_3173
349	NaN	2021	4	16	12	0	SPO_NO0143A_5_3173
350	NaN	2021	4	16	13	0	SPO_NO0143A_5_3173
351	NaN	2021	4	16	14	0	SPO_NO0143A_5_3173
352	NaN	2021	4	16	15	0	SPO_NO0143A_5_3173
353	NaN	2021	4	16	16	0	SPO_NO0143A_5_3173
354	NaN	2021	4	16	17	0	SPO_NO0143A_5_3173
355	NaN	2021	4	16	18	0	SPO_NO0143A_5_3173
356	NaN	2021	4	16	19	0	SPO_NO0143A_5_3173
357	NaN	2021	4	16	20	0	SPO_NO0143A_5_3173
358	NaN	2021	4	16	21	0	SPO_NO0143A_5_3173
359	NaN	2021	4	16	22	0	SPO_NO0143A_5_3173
360	NaN	2021	4	16	23	0	SPO_NO0143A_5_3173
361	NaN	2021	4	17	0	0	SPO_NO0143A_5_3173
362	NaN	2021	4	17	1	0	SPO_NO0143A_5_3173
363	NaN	2021	4	17	2	0	SPO_NO0143A_5_3173
364	NaN	2021	4	17	3	0	SPO_NO0143A_5_3173
365	NaN	2021	4	17	4	0	SPO_NO0143A_5_3173
366	NaN	2021	4	17	5	0	SPO_NO0143A_5_3173
367	NaN	2021	4	17	6	0	SPO_NO0143A_5_3173
368	NaN	2021	4	17	7	0	SPO_NO0143A_5_3173
369	NaN	2021	4	17	8	0	SPO_NO0143A_5_3173
370	NaN	2021	4	17	9	0	SPO_NO0143A_5_3173
371	NaN	2021	4	17	10	0	SPO_NO0143A_5_3173
372	NaN	2021	4	17	11	0	SPO_NO0143A_5_3173
373	NaN	2021	4	17	12	0	SPO_NO0143A_5_3173
